指标名称,全社会用电量:第二产业:累计值
2003/5/1,5254.3249
2003/6/1,6389.7759
2003/7/1,7737.0339
2003/8/1,8961.4684
2003/9/1,10101.6382
2003/10/1,11268.5598
2003/11/1,12423.974
2003/12/1,13935
2004/2/1,2299.5129
2004/3/1,3578.3305
2004/4/1,4873.9011
2004/5/1,6163.5826
2004/6/1,7512.6729
2004/7/1,8967.7169
2004/8/1,10375.2675
2004/9/1,11701.9516
2004/10/1,13122.703
2004/11/1,14554.2325
2004/12/1,16258
2005/2/1,2650.7
2005/3/1,4106.53
2005/4/1,5569.18
2005/5/1,7081.18
2005/6/1,8695.77
2005/7/1,10429.58
2005/8/1,12074.76
2005/9/1,13645.26
2005/10/1,15210.99
2005/11/1,16326.66
2005/12/1,18478
2006/2/1,3092.92
2006/3/1,4654.04
2006/4/1,6371.64
2006/5/1,8127.79
2006/6/1,9954.84
2006/7/1,11920.83
2006/8/1,13886.41
2006/9/1,15574.16
2006/10/1,17426.29
2006/11/1,19356.55
2006/12/1,21354
2007/2/1,3529.09
2007/3/1,5470.08
2007/4/1,7462.49
2007/5/1,9545.6
2007/6/1,11663.86
2007/7/1,13959.54
2007/8/1,16196.4
2007/9/1,18239.59
2007/10/1,20364.76
2007/11/1,22555.22
2007/12/1,24908.97
2008/2/1,3892.5195
2008/3/1,6106.9223
2008/4/1,8316.1591
2008/5/1,10642.1457
2008/6/1,12930.0096
2008/7/1,15409.4751
2008/8/1,17755.9814
2008/9/1,19889.1377
2008/10/1,21868.1415
2008/11/1,23754.7382
2008/12/1,25863
2009/1/1,1786.8672
2009/2/1,3493.1446
2009/3/1,5590.8272
2009/4/1,7645.5398
2009/5/1,9849.6556
2009/6/1,12170.5092
2009/7/1,14743.246
2009/8/1,17242.3
2009/9/1,19549.4111
2009/10/1,21912.2084
2009/11/1,24378.7621
2009/12/1,27136.4
2010/1/1,2632.6556
2010/2/1,4553.7533
2010/3/1,7146.7019
2010/4/1,9717.921
2010/5/1,12442.4944
2010/6/1,15155.1407
2010/7/1,18093.8304
2010/8/1,20958.1913
2010/9/1,23396.8804
2010/10/1,25925.9801
2010/11/1,28566.7299
2010/12/1,31450.0098
2011/1/1,2903.9602
2011/2/1,5072.8528
2011/3/1,8024.5412
2011/4/1,10894.7903
2011/5/1,13907.4416
2011/6/1,16960.7397
2011/7/1,20252.6303
2011/8/1,23439.4503
2011/9/1,26235.0894
2011/10/1,29089.2113
2011/11/1,32065.075
2011/12/1,35288.3767
2012/1/1,2603.5477
2012/2/1,5316.3985
2012/3/1,8384.908
2012/4/1,11294.3587
2012/5/1,14426.2572
2012/6/1,17580.3631
2012/7/1,20980.7877
2012/8/1,24184.4595
2012/9/1,27023.2896
2012/10/1,30028.6955
2012/11/1,33191.0211
2012/12/1,36733.3123
2013/1/1,3270.3307
2013/2/1,5528.2687
2013/3/1,8688.0913
2013/4/1,11822.6576
2013/5/1,15097.5142
2013/6/1,18419.315
2013/7/1,22077.1966
2013/8/1,25653.8783
2013/9/1,28689.1479
2013/10/1,31946.7584
2013/11/1,35391.021
2013/12/1,39143
2014/1/1,3172.4351
2014/2/1,5819.6894
2014/3/1,9133
2014/4/1,12397.9278
2014/5/1,15843
2014/6/1,19325
2014/7/1,23094
2014/8/1,26615
2014/9/1,29826.7078
2014/10/1,33205.4738
2014/11/1,36743.7532
2014/12/1,40627.7539
2015/1/1,3499
2015/2/1,5900
2015/3/1,9079.4396
2015/4/1,12304.654
2015/5/1,15732.3415
2015/6/1,19241.9636
2015/7/1,22899.9259
2015/8/1,26430.6161
2015/9/1,29558.5028
2015/10/1,32857.7068
2015/11/1,36330.0605
2015/12/1,40045.5806
2016/1/1,3487
2016/2/1,5914.7794
2016/3/1,9291.3604
2016/4/1,12595.3975
2016/5/1,16121.402
2016/6/1,19759.4619
2016/7/1,23742.6189
2016/8/1,27537.437
2016/9/1,30798.7149
2016/10/1,34350.7908
2016/11/1,38118.5801
2016/12/1,42078.3778
2017/1/1,3370.4598
2017/2/1,6327.0376
2017/3/1,9997.9611
2017/4/1,13481.1059
2017/5/1,17128.6144
2017/6/1,20954.4074
2017/7/1,25317.3053
2017/8/1,29208.9828
2017/9/1,32629.7281
2017/10/1,36279.5452
2017/11/1,40185.2431
2017/12/1,44412.66
2018/1/1,4196.79
2018/2/1,6998.8104
2018/3/1,10582.7869
2018/4/1,14252
2018/5/1,18295
2018/6/1,22336.479
2018/7/1,26883
2018/8/1,31069
2018/9/1,34714
2018/10/1,38575.07
2018/11/1,42684
2018/12/1,47234.5848
2019/2/1,7059
2019/3/1,10945
2019/4/1,14792
2019/5/1,18855
2019/6/1,23091
2019/7/1,27712
2019/8/1,32083
2019/9/1,35857
2019/10/1,39867
2019/11/1,44126.5871
2019/12/1,49362
2020/2/1,6221
2020/3/1,9971
2020/4/1,13884
2020/5/1,18098
2020/6/1,22510
2020/7/1,27111
2020/8/1,31914
2020/9/1,36025
2020/10/1,40340
2020/11/1,45033
2020/12/1,51215
2021/2/1,8012
2021/3/1,12625
2021/4/1,17074
,
,
,
