日期,黑色金属冶炼及压延加工业投资额累计同比（月）
2009-03,-6.40 
2009-04,0.10 
2009-05,0.20 
2009-06,4.60 
2009-07,3.30 
2009-08,6.70 
2009-09,4.00 
2009-10,3.80 
2009-11,0.70 
2009-12,0.50 
2010-02,28.30 
2010-03,22.00 
2010-04,11.50 
2010-05,12.40 
2010-06,9.40 
2010-07,1.60 
2010-08,-1.80 
2010-09,0.30 
2010-10,1.60 
2010-11,5.30 
2010-12,7.00 
2011-02,10.70 
2011-03,10.60 
2011-04,6.60 
2011-05,7.10 
2011-06,14.80 
2011-07,17.50 
2011-08,18.60 
2011-09,20.00 
2011-10,18.90 
2011-11,18.60 
2011-12,14.60 
2012-02,3.22 
2012-03,8.01 
2012-04,8.17 
2012-05,8.02 
2012-06,9.36 
2012-07,6.88 
2012-08,7.66 
2012-09,3.89 
2012-10,3.93 
2012-11,2.69 
2012-12,-2.04 
2013-02,1.90 
2013-03,7.70 
2013-04,7.20 
2013-05,4.10 
2013-06,3.29 
2013-07,4.94 
2013-08,2.30 
2013-09,2.65 
2013-10,3.13 
2013-11,2.16 
2013-12,-2.06 
2014-02,0.09 
2014-03,-7.50 
2014-04,-6.70 
2014-05,-12.80 
2014-06,-8.40 
2014-07,-8.30 
2014-08,-7.30 
2014-09,-5.00 
2014-10,-6.10 
2014-11,-4.70 
2014-12,-5.90 
2015-02,-4.10 
2015-03,-5.40 
2015-04,-9.70 
2015-05,-6.20 
2015-06,-11.40 
2015-07,-12.30 
2015-08,-12.52 
2015-09,-13.63 
2015-10,-12.42 
2015-11,-12.50 
2015-12,-11.00 
2016-02,-5.80 
2016-03,-3.10 
2016-04,4.20 
2016-05,4.30 
2016-06,1.90 
2016-07,1.20 
2016-08,0.70 
2016-09,-0.40 
2016-10,-0.20 
2016-11,-1.10 
2016-12,-2.20 
2017-02,-20.10 
2017-03,-10.10 
2017-04,-12.40 
2017-05,-11.00 
2017-06,-11.90 
2017-07,-11.80 
2017-08,-10.80 
2017-09,-11.20 
2017-10,-10.20 
2017-11,-9.00 
2017-12,-7.10 
2018-02,5.41 
2018-03,3.40 
2018-04,4.30 
2018-05,5.30 
2018-06,8.60 
2018-07,10.00 
2018-08,16.30 
2018-09,16.10 
2018-10,16.20 
2018-11,13.00 
2018-12,13.80 
2019-02,12.30 
2019-03,30.60 
2019-04,43.30 
2019-05,43.30 
2019-06,42.30 
2019-07,37.80 
2019-08,27.60 
2019-09,28.90 
2019-10,29.20 
2019-11,27.10 
2019-12,26.00 
2020-02,-2.30 
2020-03,-1.20 
2020-04,3.30 
2020-05,6.80 
2020-06,12.70 
2020-07,12.70 
2020-08,23.50 
2020-09,25.10 
2020-10,24.80 
2020-11,25.40 
2020-12,26.50 
2021-02,85.60 
2021-03,66.10 
