日期,M1:同比,M2:同比
2009-03,17.04 ,25.51 
2009-04,17.48 ,25.89 
2009-05,18.69 ,25.74 
2009-06,24.79 ,28.46 
2009-07,26.37 ,28.42 
2009-08,27.72 ,28.53 
2009-09,29.51 ,29.31 
2009-10,32.03 ,29.42 
2009-11,34.63 ,29.74 
2009-12,32.35 ,27.68 
2010-01,38.96 ,25.98 
2010-02,34.99 ,25.52 
2010-03,29.94 ,22.50 
2010-04,31.25 ,21.48 
2010-05,29.90 ,21.00 
2010-06,24.56 ,18.46 
2010-07,22.90 ,17.60 
2010-08,21.90 ,19.20 
2010-09,20.87 ,18.96 
2010-10,22.10 ,19.30 
2010-11,22.10 ,19.50 
2010-12,21.19 ,19.72 
2011-01,13.60 ,17.20 
2011-02,14.50 ,15.70 
2011-03,15.00 ,16.60 
2011-04,12.90 ,15.30 
2011-05,12.70 ,15.10 
2011-06,13.10 ,15.90 
2011-07,11.60 ,14.70 
2011-08,11.20 ,13.50 
2011-09,8.90 ,13.00 
2011-10,8.40 ,12.90 
2011-11,7.80 ,12.70 
2011-12,7.90 ,13.60 
2012-01,3.10 ,12.40 
2012-02,4.30 ,13.00 
2012-03,4.40 ,13.40 
2012-04,3.10 ,12.80 
2012-05,3.50 ,13.20 
2012-06,4.70 ,13.60 
2012-07,4.60 ,13.90 
2012-08,4.50 ,13.50 
2012-09,7.30 ,14.80 
2012-10,6.10 ,14.10 
2012-11,5.50 ,13.90 
2012-12,6.50 ,13.80 
2013-01,15.30 ,15.90 
2013-02,9.50 ,15.20 
2013-03,11.90 ,15.70 
2013-04,11.90 ,16.10 
2013-05,11.30 ,15.80 
2013-06,9.10 ,14.00 
2013-07,9.70 ,14.50 
2013-08,9.90 ,14.70 
2013-09,8.90 ,14.20 
2013-10,8.90 ,14.30 
2013-11,9.40 ,14.20 
2013-12,9.30 ,13.60 
2014-01,1.20 ,13.20 
2014-02,6.90 ,13.30 
2014-03,5.40 ,12.10 
2014-04,5.50 ,13.20 
2014-05,5.70 ,13.40 
2014-06,8.90 ,14.70 
2014-07,6.70 ,13.50 
2014-08,5.70 ,12.80 
2014-09,4.80 ,12.90 
2014-10,3.20 ,12.60 
2014-11,3.20 ,12.30 
2014-12,3.20 ,12.20 
2015-01,10.60 ,10.80 
2015-02,5.60 ,12.50 
2015-03,2.90 ,11.60 
2015-04,3.70 ,10.10 
2015-05,4.70 ,10.80 
2015-06,4.30 ,11.80 
2015-07,6.60 ,13.30 
2015-08,9.30 ,13.30 
2015-09,11.40 ,13.10 
2015-10,14.00 ,13.50 
2015-11,15.70 ,13.70 
2015-12,15.20 ,13.30 
2016-01,18.60 ,14.00 
2016-02,17.40 ,13.30 
2016-03,22.10 ,13.40 
2016-04,22.90 ,12.80 
2016-05,23.70 ,11.80 
2016-06,24.60 ,11.80 
2016-07,25.40 ,10.20 
2016-08,25.30 ,11.40 
2016-09,24.70 ,11.50 
2016-10,23.90 ,11.60 
2016-11,22.70 ,11.40 
2016-12,21.40 ,11.30 
2017-01,14.50 ,10.70 
2017-02,21.40 ,10.40 
2017-03,18.80 ,10.10 
2017-04,18.50 ,9.80 
2017-05,17.00 ,9.10 
2017-06,15.00 ,9.10 
2017-07,15.30 ,8.90 
2017-08,14.00 ,8.60 
2017-09,14.00 ,9.00 
2017-10,13.00 ,8.90 
2017-11,12.70 ,9.10 
2017-12,11.80 ,8.10 
2018-01,15.00 ,8.60 
2018-02,8.50 ,8.80 
2018-03,7.10 ,8.20 
2018-04,7.20 ,8.30 
2018-05,6.00 ,8.30 
2018-06,6.60 ,8.00 
2018-07,5.10 ,8.50 
2018-08,3.90 ,8.20 
2018-09,4.00 ,8.30 
2018-10,2.70 ,8.00 
2018-11,1.50 ,8.00 
2018-12,1.50 ,8.10 
2019-01,0.40 ,8.40 
2019-02,2.00 ,8.00 
2019-03,4.60 ,8.60 
2019-04,2.90 ,8.50 
2019-05,3.40 ,8.50 
2019-06,4.40 ,8.50 
2019-07,3.10 ,8.10 
2019-08,3.40 ,8.20 
2019-09,3.40 ,8.40 
2019-10,3.30 ,8.40 
2019-11,3.50 ,8.20 
2019-12,4.40 ,8.70 
2020-01,0.00 ,8.40 
2020-02,4.80 ,8.80 
2020-03,5.00 ,10.10 
2020-04,5.50 ,11.10 
2020-05,6.80 ,11.10 
2020-06,6.50 ,11.10 
2020-07,6.90 ,10.70 
2020-08,8.00 ,10.40 
2020-09,8.10 ,10.90 
2020-10,9.10 ,10.50 
2020-11,10.00 ,10.70 
2020-12,8.60 ,10.10 
2021-01,14.70 ,9.40 
2021-02,7.40 ,10.10 
2021-03,7.10 ,9.40 
2021-04,6.20 ,8.10 
,,
,,
